Symbol,Datetime,Open,High,Low,Close,Volume
META,2024-01-02 04:07:00,354.1,354.21,354.1,354.21,423.0
META,2024-01-02 04:08:00,354.21,354.21,354.21,354.21,490.0
META,2024-01-02 04:30:00,354.74,354.74,354.74,354.74,118.0
META,2024-01-02 04:35:00,354.62,355.0,354.5,355.0,2663.0
META,2024-01-02 04:52:00,354.53,354.53,354.53,354.53,339.0
META,2024-01-02 04:53:00,354.5,354.5,354.5,354.5,327.0
META,2024-01-02 04:54:00,354.37,354.37,354.37,354.37,200.0
META,2024-01-02 04:56:00,354.5,354.5,354.5,354.5,260.0
META,2024-01-02 05:15:00,354.45,354.45,354.4,354.4,1085.0
META,2024-01-02 05:24:00,354.36,354.36,354.36,354.36,106.0
META,2024-01-02 05:38:00,354.3,354.3,354.3,354.3,200.0
META,2024-01-02 05:40:00,354.3,354.3,354.3,354.3,310.0
META,2024-01-02 05:52:00,354.21,354.21,354.21,354.21,271.0
META,2024-01-02 05:58:00,354.1,354.1,354.0,354.0,981.0
META,2024-01-02 06:01:00,353.67,353.67,353.67,353.67,261.0
META,2024-01-02 06:07:00,353.35,353.35,353.35,353.35,258.0
META,2024-01-02 06:10:00,353.03,353.03,353.03,353.03,150.0
META,2024-01-02 06:20:00,352.0,352.0,352.0,352.0,142.0
META,2024-01-02 06:30:00,351.7,351.7,351.7,351.7,901.0
META,2024-01-02 06:37:00,350.5,350.5,350.5,350.5,433.0
META,2024-01-02 06:38:00,350.18,350.18,350.18,350.18,511.0
META,2024-01-02 06:41:00,350.62,350.62,350.62,350.62,1445.0
META,2024-01-02 06:50:00,350.65,350.65,350.65,350.65,448.0
META,2024-01-02 06:57:00,350.8,350.8,350.8,350.8,515.0
META,2024-01-02 07:00:00,351.0,351.49,351.0,351.49,2111.0
META,2024-01-02 07:01:00,351.4,351.4,351.4,351.4,516.0
META,2024-01-02 07:02:00,351.54,351.78,351.54,351.78,2379.0
META,2024-01-02 07:03:00,351.63,351.63,351.63,351.63,2810.0
META,2024-01-02 07:05:00,351.4,351.4,351.4,351.4,360.0
META,2024-01-02 07:06:00,351.28,351.28,351.06,351.06,753.0
META,2024-01-02 07:07:00,350.89,351.0,350.74,351.0,3173.0
META,2024-01-02 07:08:00,351.0,351.0,351.0,351.0,341.0
META,2024-01-02 07:11:00,351.0,351.0,351.0,351.0,579.0
META,2024-01-02 07:15:00,350.98,350.98,350.98,350.98,309.0
META,2024-01-02 07:16:00,350.85,350.85,350.85,350.85,267.0
META,2024-01-02 07:17:00,350.81,351.07,350.74,351.07,4668.0
META,2024-01-02 07:19:00,350.84,350.84,350.84,350.84,573.0
META,2024-01-02 07:20:00,350.9,350.9,350.9,350.9,1382.0
META,2024-01-02 07:21:00,351.0,351.0,351.0,351.0,507.0
META,2024-01-02 07:23:00,351.2,351.2,351.2,351.2,881.0
META,2024-01-02 07:29:00,351.01,351.01,351.01,351.01,302.0
META,2024-01-02 07:36:00,351.03,351.03,351.02,351.02,784.0
META,2024-01-02 07:37:00,350.99,351.07,350.99,351.07,1378.0
META,2024-01-02 07:38:00,351.05,351.09,351.05,351.05,1074.0
META,2024-01-02 07:39:00,351.0,351.0,351.0,351.0,831.0
META,2024-01-02 07:40:00,351.13,351.13,351.13,351.13,529.0
META,2024-01-02 07:41:00,351.2,351.24,351.2,351.24,664.0
META,2024-01-02 07:44:00,351.18,351.18,351.18,351.18,595.0
META,2024-01-02 07:45:00,350.84,350.84,350.84,350.84,675.0
META,2024-01-02 07:46:00,351.0,351.0,351.0,351.0,107.0
META,2024-01-02 07:50:00,350.8,350.8,350.74,350.74,580.0
META,2024-01-02 07:51:00,350.74,350.74,350.74,350.74,466.0
META,2024-01-02 07:57:00,350.53,350.53,350.3,350.3,1713.0
META,2024-01-02 07:58:00,350.4,350.4,350.4,350.4,491.0
META,2024-01-02 07:59:00,350.4,350.5,350.4,350.5,1028.0
META,2024-01-02 08:00:00,351.0,351.64,350.2421,350.2421,11954.0
META,2024-01-02 08:01:00,350.5,350.5,350.5,350.5,903.0
META,2024-01-02 08:02:00,353.01,353.01,350.6,350.6,919.0
META,2024-01-02 08:03:00,353.52,353.52,353.52,353.52,567.0
META,2024-01-02 08:04:00,354.0,354.0,353.46,353.46,1514.0
META,2024-01-02 08:05:00,353.52,353.52,353.46,353.47,1438.0
META,2024-01-02 08:06:00,350.3416,350.3416,350.3416,350.3416,109.0
META,2024-01-02 08:08:00,350.31,350.31,350.31,350.31,368.0
META,2024-01-02 08:09:00,350.32,350.32,350.32,350.32,613.0
META,2024-01-02 08:11:00,350.5,350.5,350.5,350.5,466.0
META,2024-01-02 08:14:00,350.5,350.5,350.4,350.4,1992.0
META,2024-01-02 08:15:00,350.41,350.5,350.41,350.42,1130.0
META,2024-01-02 08:17:00,350.45,350.73,350.45,350.73,755.0
META,2024-01-02 08:18:00,350.4001,350.41,350.4001,350.41,674.0
META,2024-01-02 08:19:00,350.401,350.401,350.4,350.4,371.0
META,2024-01-02 08:20:00,350.5,350.5,350.4601,350.4601,236.0
META,2024-01-02 08:21:00,350.4,350.41,350.4,350.41,2108.0
META,2024-01-02 08:22:00,350.39,350.39,350.2401,350.2401,500.0
META,2024-01-02 08:23:00,350.24,350.26,350.23,350.26,1160.0
META,2024-01-02 08:24:00,350.24,350.24,350.24,350.24,607.0
META,2024-01-02 08:25:00,350.32,350.32,350.31,350.31,590.0
META,2024-01-02 08:26:00,350.39,350.39,350.31,350.31,1624.0
META,2024-01-02 08:27:00,350.25,350.25,350.15,350.15,893.0
META,2024-01-02 08:28:00,350.15,350.15,350.15,350.15,781.0
META,2024-01-02 08:29:00,350.05,350.05,350.05,350.05,503.0
META,2024-01-02 08:30:00,350.0,350.0,350.0,350.0,2409.0
META,2024-01-02 08:31:00,349.96,350.0,349.919,349.94,2390.0
META,2024-01-02 08:32:00,350.0,350.19,350.0,350.19,1173.0
META,2024-01-02 08:33:00,350.1,350.25,349.9,350.25,2291.0
META,2024-01-02 08:34:00,350.1,350.1,350.1,350.1,938.0
META,2024-01-02 08:37:00,349.9,349.9,349.9,349.9,957.0
META,2024-01-02 08:39:00,349.81,349.81,349.75,349.75,2514.0
META,2024-01-02 08:40:00,349.78,349.78,349.78,349.78,2111.0
META,2024-01-02 08:41:00,349.77,349.8,349.77,349.8,778.0
META,2024-01-02 08:43:00,349.99,349.99,349.99,349.99,621.0
META,2024-01-02 08:47:00,349.99,349.99,349.99,349.99,379.0
META,2024-01-02 08:49:00,349.97,349.9897,349.97,349.9897,726.0
META,2024-01-02 08:50:00,349.9,349.9,349.85,349.85,1287.0
META,2024-01-02 08:53:00,349.98,350.0,349.98,350.0,2607.0
META,2024-01-02 08:54:00,350.2749,350.28,350.2749,350.28,520.0
META,2024-01-02 08:55:00,350.39,350.39,350.288,350.3,3155.0
META,2024-01-02 08:56:00,350.5,350.5,350.35,350.49,2271.0
META,2024-01-02 08:57:00,350.49,350.5,350.49,350.5,3162.0
META,2024-01-02 08:58:00,350.2001,350.2001,350.2001,350.2001,686.0
META,2024-01-02 08:59:00,350.47,350.56,350.47,350.51,2536.0
META,2024-01-02 09:00:00,350.65,350.65,350.65,350.65,1010.0
META,2024-01-02 09:01:00,350.65,350.65,350.65,350.65,342.0
META,2024-01-02 09:02:00,350.46,350.46,350.46,350.46,354.0
META,2024-01-02 09:03:00,350.46,350.46,350.44,350.44,575.0
META,2024-01-02 09:04:00,350.2,350.2,350.2,350.2,422.0
META,2024-01-02 09:05:00,350.06,350.2,350.06,350.1872,2451.0
META,2024-01-02 09:06:00,350.17,350.17,350.17,350.17,476.0
META,2024-01-02 09:07:00,350.1252,350.3,350.1252,350.3,894.0
META,2024-01-02 09:08:00,350.45,350.45,350.2458,350.2458,2539.0
META,2024-01-02 09:09:00,350.47,350.47,350.24,350.47,1397.0
META,2024-01-02 09:10:00,350.803,350.803,350.803,350.803,971.0
META,2024-01-02 09:13:00,350.56,350.75,350.56,350.75,1196.0
META,2024-01-02 09:16:00,350.858,350.858,350.858,350.858,203.0
META,2024-01-02 09:17:00,350.82,350.82,350.82,350.82,298.0
META,2024-01-02 09:18:00,350.82,351.21,350.7,351.2,7336.0
META,2024-01-02 09:19:00,351.0999,351.2,350.82,350.82,12338.0
META,2024-01-02 09:20:00,351.01,351.01,351.01,351.01,969.0
META,2024-01-02 09:21:00,350.96,351.01,350.96,351.01,993.0
META,2024-01-02 09:22:00,351.01,351.01,350.82,350.82,3126.0
META,2024-01-02 09:23:00,351.12,351.12,351.12,351.12,1061.0
META,2024-01-02 09:24:00,351.26,351.26,351.26,351.26,364.0
META,2024-01-02 09:25:00,350.82,351.0,350.82,350.82,3277.0
META,2024-01-02 09:26:00,351.0,351.0,350.98,350.98,2694.0
META,2024-01-02 09:27:00,350.72,351.11,350.72,351.0,2452.0
META,2024-01-02 09:28:00,351.0,351.21,351.0,351.21,1123.0
META,2024-01-02 09:29:00,351.5,351.5,351.35,351.35,954.0
META,2024-01-02 09:30:00,351.32,352.9288,351.13,352.78,316039.0
META,2024-01-02 09:31:00,352.865,353.16,352.0201,352.0201,97429.0
META,2024-01-02 09:32:00,352.215,352.215,350.71,350.73,93171.0
META,2024-01-02 09:33:00,350.73,351.08,350.36,350.96,96430.0
META,2024-01-02 09:34:00,350.75,350.87,350.48,350.63,87399.0
META,2024-01-02 09:35:00,350.575,351.2881,350.451,351.235,59306.0
META,2024-01-02 09:36:00,351.225,351.33,350.53,350.615,110830.0
META,2024-01-02 09:37:00,350.615,350.64,349.25,349.385,118522.0
META,2024-01-02 09:38:00,349.39,349.45,348.0,348.32,138637.0
META,2024-01-02 09:39:00,348.32,349.3,348.09,349.1,70209.0
META,2024-01-02 09:40:00,349.02,349.02,347.7,347.755,81657.0
META,2024-01-02 09:41:00,347.745,348.16,347.26,347.81,99764.0
META,2024-01-02 09:42:00,347.72,348.14,346.9478,347.06,64529.0
META,2024-01-02 09:43:00,347.04,347.44,346.78,347.12,57144.0
META,2024-01-02 09:44:00,347.04,347.4497,346.98,346.99,59396.0
META,2024-01-02 09:45:00,346.99,347.05,345.7,345.98,96579.0
META,2024-01-02 09:46:00,345.965,346.73,345.875,346.51,70948.0
META,2024-01-02 09:47:00,346.5202,346.9999,346.5202,346.82,55128.0
META,2024-01-02 09:48:00,346.8872,347.05,346.0475,346.1,50394.0
META,2024-01-02 09:49:00,346.0875,346.665,346.02,346.35,60799.0
META,2024-01-02 09:50:00,346.38,346.62,345.88,346.04,71559.0
META,2024-01-02 09:51:00,346.01,346.48,345.8101,346.22,85899.0
META,2024-01-02 09:52:00,346.29,346.31,345.27,345.42,102818.0
META,2024-01-02 09:53:00,345.425,345.48,344.5901,344.699,93988.0
META,2024-01-02 09:54:00,344.7,344.73,343.9,343.9,93827.0
META,2024-01-02 09:55:00,343.98,344.34,343.2673,343.5789,140657.0
META,2024-01-02 09:56:00,343.47,343.5043,342.53,342.755,116000.0
